nama_tempat,user,review,rating
Enter Komputer,Rian Hakim Tambusay,"Salut banget sama admin Whatsapp nya sabar banget sama gw yg tanya mulu terus sampe blunder di akhir salah milih barang tapi tetep dibantu buat ganti, REKOMENDED BANGET buat kalian yang bingung banget sama rakit dan komponen pc",5 bintang
Enter Komputer,Jordan Almeralza,"Pertama kali mampir ke sini kesannya langsung jelek.

Sales menawarkan PC yg sudah jadi, dengan beberapa tipe spek dan range harga yg …",1 bintang
Enter Komputer,Marcel Baskoro,"dirakit sesuai keinginan, sampai rumah dicoba ga ada masalah. sayangnya ga mau install windows trial, jadi dibantu toko sebrang",5 bintang
Enter Komputer,Ben Jasen Wangsajaya (Ben),"VERY BAD SERVICE. Kronologi:

Saya kirim gambar produk yang ada kode produk dan kirim link produk. Saya tanya …",1 bintang
Enter Komputer,Reihan Reihan,"Pelayanan sudah berubah baik. Rakit disana tahun 2021 sangat puas, semua part compatible, tidak ada masalah sampai sekarang. Klaim garansi jadi lebih mudah. Pelayanan klaim pun tidak ribet. Saya klaim NVME, TDK sampai seminggu bisa selesai. …",5 bintang
Enter Komputer,Muhammad Biroel Walidaini,"Sudah note pengambilan pribadi atau gojek grab, diambil sendiri lalu disuruh tunggu karna barang di gudang pengambilan namun tidak jelas sudah menunggu 30 menit waktu terbuang, dan setelah tanyakan lagi barulah kejelasan gak ada info dari …",1 bintang
Enter Komputer,julius jarot,"klaim garansi ribet, ga ada kejelasan
beli gpu dari sini, garansi 2 tahun tapi dipake 1 tahun udah mati, no display
udah klaim garansi, bukannya dikasi tau apa kerusakannya atau gpu saya …",1 bintang
Enter Komputer,Luthfi Yusuf,Pengalaman terbaik beli PC gaming. Harga terjangkau kualitas mantap. Pelayanan sangat amat ramah dan helpful banget. …,5 bintang
Enter Komputer,Obed,"Pelayanan bagus bisa di tracking jadi bisa nunggu sambil jalan2x di mallnya, semua by sistem jadi gak ribet, harga jelas gak takut terjebak dengan sistem nego seperti toko2x lain yang main harga di awal, kalo di sini jelas harganya dan bersaing.",5 bintang
Enter Komputer,Mu'adz Mukhadasin,"Toko ini ada di lantai 3 nomor 31-32 Mangga Dua Mall. Kesan saya belanja di sini, pelayannya ramah dan sangat membantu. …",4 bintang
Enter Komputer,William Sebastian,"Dulu sering belanja waktu masih di lantai 5, pelayanan oke banget.

Kemarin nyari produk lagi disini, via WA slow response. Dateng ke toko minta …",2 bintang
Enter Komputer,Hendra Chandra,"Toko Komputer Terfavorit dan Terbaik , Saya rakit PC idaman saya disini👍.
Pelayanan sangat Baik dan Staff nya Ramah. Konsultasi dan Perakitan nya Gratis tidak dikenakan biaya. …",5 bintang
Enter Komputer,Athar Akma,Mantap toko komputer terbaik yang pernah di datangi. Employee baik dan ramah. Pengerjaan sangat cepat. …,5 bintang
Enter Komputer,demarr,"admin tokopedia nya mempersulit transaksi , sudah berhari hari saya di suruh simulasi ulang dengan alasan barangnya tiba² kosong, awalnya barang sudah fix , tiba tiba dikabarin kalo barang nya kosong, dengan alasan distrubutor berjalan, kocak emang belanja disini",1 bintang
Enter Komputer,Kaguya S,"Teknisi profesional dan bertanggung jawab, namun tetap kualitas barang, dan layanan mantap... Ketika saya sekali pergi kesana untuk membeli SSD tambahan proses pembelian semua dilayanin dengan baik hingga saat saya meminta tim teknisi untuk …",4 bintang
Enter Komputer,Jimmy Christian,"Pelayanannya mantap, adminnya wa nya responsif dan bisa merekomendasikan part sesuai kebutuhan 👍👍 …",5 bintang
Enter Komputer,SanX,Banyak barang ready tetapi ketika beli komponen banyak yang tertukar seperti saya beli kabel HDMI 2.1 yang diterima HDMI 2.0,2 bintang
Enter Komputer,Kusnandar Dodi,"Fasilitas toko super mewah, luas dan nyaman, kualitas harga sangat bagus dan murah, terbaik di mangga dua mall! …",3 bintang
Enter Komputer,Rivo,"pelayanan kurang memuaskan, di sales counter mau nekan budget dikit tapi barang banyak tidak ada dan adanya hanya merek tertentu ketika ditanya apakah ada VGA yg harganya dibawah RTX 4060 dijawab gak ada juga padahal ada Intel ARC yg …",2 bintang
Enter Komputer,RzI_ Office,"Kalian wajib datang sih!! Klu mau tanya"" seputar komputer rekomendasi banget pokoknya..",5 bintang
Enter Komputer,Shlka Daily,"Pelayanannya bagus, harga bersaing. Ramah semua..
Utk customer care dan klaim garansi jg oke.",5 bintang
Enter Komputer,Mirza Rinzano,"Rekomen banget, aku yg ngga terlalu paham tentang hardware komputer jadi ngga ragu buat pesan, trs jg klo barang yg kita mau stok ny kosong pasti ada alternatif penggantinya dari mulai merk sampai tipe ny. …",5 bintang
Enter Komputer,Alvian,"Buat yang masih awam soal rakit PC, enter komputer solusinya sih, karena pas awal dateng langsung ambil antrian untuk ketemu sama CS nya, nah pas di CS kita bisa simulasi untuk build PC kita, dan penjelasan dari CS nya juga saran"" nya mudah …",5 bintang
Enter Komputer,B4mzMutt Aeelackh,"Kecewa Berat , Monitor beli November 2022 info awal Garansi 3 tahun , tiba2 monitor blank sendiri gg ada angin gg ada ujan di Des 2024 , setelah pengajuan claim garansi malah Void dengan Alasan sudah habis masa Garansi....mirip2 wasit yg …",1 bintang
Enter Komputer,Harso Forever,"Pelayanan Cepat Kalo Datang Pagi Pagi , Harga Kompetitif , Suasanya Ya Lumanyan , Ada Beeberapa Unit PC Bisa Di Pake Untuk MAen GAme. Itu Punya Kalo Engga Antri. Hehe.. Mba nya Pada Telaten Bantu Cari Barang, KEbetulan Kemaren BEli Ternyata Ada Part Yang Tidak Compatible , Akhirnya Gua HArus Jauh Jauh Balik Ke Jakarta Lagi Buat Claim...",4 bintang
Enter Komputer,Dzul Qarnain,"Rekomendasi tempat membeli pc, laptop, aksesoris dan lainnya harga bersaing dan menurut saya termasuk yang termurah. Sudah langganan sejak 10 tahun silam, pengalaman bagus belanja di sini 👍 …",5 bintang
Enter Komputer,Pikatan Suryono,"Ga rekomen klaim garansi di sini, kalo ga ditanya ya gatau dah sampe berapa lama karna ternyata stoknya abis",3 bintang
Enter Komputer,VIN REPTILES,"Enak rakit disini bisa sekalian konsultasi, tapi lebih enak kalau sudah tau mau spek kaya gimana dan budget tak terbatas😅. Untuk pembayaran bisa langsung atau lewat tokped, kalau saya karna rakit baru dan lumayan besar jumlahnya jadi lewat …",5 bintang
Enter Komputer,Ega,"Pelayanannya sangat ramah dan informatif. walaupun kondisi store penuh, semua karyawan tetap melayani dengan ramah. 👍🏻 …",5 bintang
Enter Komputer,Muhammad Givary,"Toko ini luar biasa! Pelayanan ramah dan informatif, produk berkualitas dengan harga kompetitif. Sangat direkomendasikan untuk kebutuhan komputer dan aksesoris teknologi!",5 bintang
Enter Komputer,D4rkSoul123,"Bagus banget, cocok buat yg mau beli PC jadi atau part PC.",5 bintang
Enter Komputer,Victoria Yama,"Pengalaman buruk waktu mau beli PC di sini. Awalnya aman² saja ketika menentukan spesifikasi, namun ketika mau cari casing-nya, CS-nya cowo pake kacamata engga ramah, seperti ""menertawakan"" saya karena kurang paham dengan komputer. Akhirnya …",1 bintang
Enter Komputer,Blue Ocean70 (Golden_Arrow),"Bagus tempatnya, hanya ada beberapa item harganya yg lebih tinggi.

Ada mini cafe nya juga. …",5 bintang
Enter Komputer,DHANNI ACHMAD KUSUMA,"Toko EnterKomputer di mangga dua mall,  menurut saya toko komputer paling diminati di mangga dua mall. Terbukti karena ditoko ini selalu ramai dikunjungi. …",5 bintang
Enter Komputer,Bayu Arisandi,Bagus banget!! buat kamu yang mau beli Sparepart & Rakit PC impianmu disini tempatnya. Pelayanan OKE dan harga bersaing.,5 bintang
Enter Komputer,Ferdian Erlangga,"Pemesanan online melalui web respon cepat,dan pengiriman sangat memuaskan menggunakan kurir toko. Pemesanan siang sampai lokasi sore",5 bintang
Enter Komputer,Dimas Sukma Pradana,tempatnya asik bisa main di gaming battleground. petugasnya ramah dan cepet kerjanya. semoga barangnya awet,5 bintang
Enter Komputer,apaajaboleh10,"saya ingin beli ssd nvme untuk upgrade laptop sekaligus minta dipasangkan. Setelah barang diterima, ternyata laptop saya tidak memiliki slot tambahan untuk ssd nvme. Toko komputer juga menolak permintaan refund saya. …",5 bintang
Enter Komputer,Indra Priatna,"pelayanan semakin baik, bisa tracking biar tahu sampai dimana orderan kita👍👍 …",5 bintang
Enter Komputer,Dendy Febryansyah,Bagian konsultasi oke. Nanya2 bebas dan mudah. Tapi gak bisa masangin SSD sama RAM sekalian ke laptop. Hadeh.,3 bintang
Enter Komputer,Lutfi “Lutfi R. Akbar” Rizki Akbar,"Datang kesini jam 4 mau rakit tapi ha bisa diambil di hari yang sama, alhasil diambil besoknya, pelayanannya ramah, yang kurang cuma 1, kenapa kalo pembayaran make CC kena biaya tambahan di toko sebesar 2%, kan lumayan besar kalo pembelian banyak :(.",4 bintang
Enter Komputer,Ezra Ananta,"Datang ke sini awalnya ingin rakit pc, tapi pelayanannya tidak ramah dan terkesan memandang sebelah mata, saya tidak diberikan informasi yang cukup, mungkin karena ingin rakit pc senilai belasan juta aja kali ya, jadi dipandang remeh, jauh lebih baik pindah ke toko sebelahnya aja, lebih baik pelayanannya.",1 bintang
Enter Komputer,TJ H2/6,"Model store rakit pc yg modern, serta spare part pc yg cukup lengkap menjadikan kemudahan sy dalam berbelanja. Pengecekan stock cepat tidak menunggu lama.",5 bintang
Enter Komputer,Eka Rinaldy,"Terbaiklah, respon cepat, packing pengiriman aman dan barangnya selamat dan sehat…sukses selalu … salut👍🏻 …",5 bintang
Enter Komputer,フりだ,"Enter Komputer merupakan tempat langganan untuk beli gadget elektronik seperti perangkat komputer, laptop, ram dan lainnya. …",5 bintang
Enter Komputer,Dikky Andhika Ramadhani,"Staff ramah, teknisi profesional, terbaiklah pokoknya. Semua pertanyaan bisa dijawab dengan jelas, dan bisa kasih rekomendasi juga, keren",5 bintang
Enter Komputer,Solo pio_pio,"Mantap rekomen tapi kalo weekend rame banget, saran aja kalo bisa Dateng pas weekday sih",5 bintang
Enter Komputer,Eko Budianto,"Konsep tokonya futuristik
Harganya sangat terjangkau
Rekomended banget buat yang mau beli aksesoris, laptop atau komputer di daerah mangga 2 atau Sekitar Jakarta",5 bintang
Enter Komputer,Cantilever Bridge,"Keren! Bisa juga loh kalau misalkan yang online pakai voucher lebih murah, digabung dengan pembelian offline di enterkomputer. Pelayanannya sangat ramah, sekedar saran buat pengunjung, datang di hari biasa lebih preferable karena saat …",5 bintang
Enter Komputer,Yusuf Eka Sayogana,"Tempat untuk beli perangkat komputer terbaik, apalagi kalo anda adalah seorang gamer, ini adalah tempat yang saya rekomendasikan, semua kebutuhan gamer ada, mulai dari kebutuhan pc seperti graphic card, Cpu, mother board, ram, dan yang …",5 bintang
Enter Komputer,Arief Ahmad,"Harus sabar meskipun cuma beli 1part karena selalu ramai..
Tidak di sediakan kantong belanja.
Tapi tempat nunggu ga ngebosenin bisa liat2 setup atau main game",4 bintang
Enter Komputer,Setio Pramono,"Pengiriman cepat sehari sampai, kualitas barang ORI... Puas belanja di Enter Komputer.. memang sejak 2012 sudah langganan utk hardware PC... Sekarang bisa beli online..  recommended and trusted...",5 bintang
